date,equity
2019-08-14,420277.932361
2019-08-15,425677.144169
2019-08-16,428768.696753
2019-08-19,431466.073448
2019-08-20,429843.425755
2019-08-21,433125.513603
2019-08-22,435133.460124
2019-08-23,427960.645624
2019-08-26,432740.450095
2019-08-27,433610.581082
2019-08-28,435013.409201
2019-08-29,438359.259710
2019-08-30,438108.108791
2019-09-03,439632.135769
2019-09-04,443628.617436
2019-09-05,449339.919924
2019-09-06,450034.931888
2019-09-09,444908.356894
2019-09-10,438214.346462
2019-09-11,439628.484272
2019-09-12,442291.181477
2019-09-13,441761.844932
2019-09-16,440076.909761
2019-09-17,445029.479520
2019-09-18,445730.084162
2019-09-19,445005.645077
2019-09-20,442930.854815
2019-09-23,443735.387912
2019-09-24,440059.943174
2019-09-25,443154.648582
2019-09-26,443905.046926
2019-09-27,436424.968850
2019-09-30,440094.454978
2019-10-01,435211.506213
2019-10-02,429102.861956
2019-10-03,433768.180484
2019-10-04,440026.034399
2019-10-07,437749.833731
2019-10-08,432417.110759
2019-10-09,437638.989632
2019-10-10,439266.736815
2019-10-11,442076.370251
2019-10-14,441835.786102
2019-10-15,444257.389128
2019-10-16,442214.170442
2019-10-17,443670.166539
2019-10-18,443374.500202
2019-10-21,445521.994981
2019-10-22,436702.016756
2019-10-23,435952.921459
2019-10-24,439179.244958
2019-10-25,438194.551520
2019-10-28,439683.403073
2019-10-29,441369.076937
2019-10-30,443663.222933
2019-10-31,443109.480821
2019-11-01,443867.985773
2019-11-04,440923.084118
2019-11-05,439234.096032
2019-11-06,440988.388183
2019-11-07,439356.333892
2019-11-08,439779.390220
2019-11-11,442272.185313
2019-11-12,444323.115743
2019-11-13,445584.285565
2019-11-14,448785.244360
2019-11-15,451529.955993
2019-11-18,452960.705637
2019-11-19,453553.839395
2019-11-20,454787.716376
2019-11-21,449378.434933
2019-11-22,447640.990291
2019-11-25,451989.079207
2019-11-26,455228.467067
2019-11-27,457375.649069
2019-11-29,454993.502194
2019-12-02,448481.748090
2019-12-03,446582.949176
2019-12-04,448778.526330
2019-12-05,449447.038535
2019-12-06,452724.186571
2019-12-09,450348.541490
2019-12-10,449906.101344
2019-12-11,454894.703318
2019-12-12,459650.679610
2019-12-13,461175.714583
2019-12-16,463879.537240
2019-12-17,465059.255977
2019-12-18,465112.071754
